Date,EURO STOXX 50,FTSE 100,MSCI China,Nasdaq-100,NYSE Arca Gold BUGS,S&P 500
12/2008,10000,10000,10000,10000,10000,10000
01/2009,8431.903038846782,9148.87340100083,9169.652193290705,9743.788447711115,9924.322538003966,9157.136800607854
02/2009,7354.8175402031,8440.647750320764,8878.756192467901,9237.756650954701,9588.896232650364,8182.110372091483
03/2009,8117.116994762336,8778.884096472311,10133.191627954813,10220.420228489254,10751.156642432254,8898.83934765612
04/2009,9350.989112993908,9898.518577795787,11258.549462605206,11507.070384277382,9885.327164573693,9750.539582209201
05/2009,10418.813441837658,11261.743599239133,13216.140699727443,11854.038507629624,13191.672174487772,10295.903029368686
06/2009,10257.628984143055,11170.230621738026,13761.93496408797,12196.372932811375,11262.062128222075,10316.34383499796
07/2009,11281.01752585179,12081.814655278931,15252.926958876868,13227.770232483821,11948.116325181758,11096.604486240649
08/2009,11995.209840362213,12689.50763665349,14180.708641171124,13416.233921866258,11849.306014540647,11497.230511722144
09/2009,12746.50509572629,13219.441642148218,14843.752678403067,14184.149556603019,13895.902181097157,11926.280957152763
10/2009,12312.428367117274,13367.0925762538,15800.263983406756,13763.042262522968,12975.21480502313,11704.735659776896
11/2009,12780.211968731697,13762.176373422682,16188.353874899289,14593.033474474714,15771.315267680104,12406.811950094148
12/2009,13006.484620677613,14135.646390535077,16263.09203421499,15350.96269074059,14290.482485128881,12646.458028212439
01/2010,11816.510965452428,13470.092609947467,14858.66602670689,14379.084445154585,12433.906146728354,12191.52966050368
02/2010,11290.313290550801,13183.438317010545,15184.531258035204,15025.725013980988,13445.142101784533,12569.168382684915
03/2010,12053.871442074273,13991.071875397305,16006.993846101095,16168.410961092914,13546.926635822867,13327.680567332149
04/2010,11471.42849423527,13844.690342330738,15953.682911359854,16518.255172964768,15444.150693985459,13538.076334364776
05/2010,9997.16239760759,12321.237099893826,15098.650941940792,15319.964847806981,15119.960343688035,12457.053660900108
06/2010,9849.951327043082,12114.51205293069,15290.467456331313,14400.175760965087,15846.001321877062,11804.943784343304
07/2010,11147.797001487314,13483.922684714034,15958.482609664532,15422.145881601022,14760.409781890283,12632.004933323055
08/2010,10393.323159108051,13269.10486048078,15519.310214786492,14645.921546696492,16283.873099801716,12061.7959278061
09/2010,11727.291074362956,14570.295374140436,16931.278605344804,16532.4758328673,17031.06411103767,13138.20737575844
10/2010,12335.791403736665,15001.128399415205,17590.38003325505,17567.947591275864,17444.15069398546,13638.146810408427
11/2010,10821.126187334296,14258.234234173924,17171.949191765085,17531.43724534633,18383.013879709186,13639.867416942878
12/2010,11724.353748330072,15235.707134699995,17049.214049402603,18354.637692737877,19174.157303370786,14551.444758894844
01/2011,12730.155707864147,15522.963053420744,16960.59104856266,18879.923304306143,16930.270984798408,14896.323132660136
02/2011,13124.046617314565,16250.132127775345,16654.781699436033,19457.53774866182,18875.7435558493,15406.655030778205
03/2011,13022.839578318508,15952.770104335728,17541.011707835503,19363.265958296717,19201.916721744878,15412.78039004085
04/2011,14150.914314209445,17027.41224229303,17825.90808577746,19900.45538068227,19858.889623265033,15869.222891499927
05/2011,13242.154431127865,16694.060882916605,17890.704012890616,19815.05152991931,18533.04692663582,15689.591569303275
06/2011,13267.08536046589,16141.009255786847,17234.85952311569,19434.848605895982,17508.592200925308,15428.059376066773
07/2011,12284.735842302058,16080.247420135182,17093.09700533109,19748.1824718383,18250.495703899534,15114.358392705726
08/2011,10742.46581645109,15030.968148807659,15500.282839364381,18775.984660861228,20111.368142762723,14293.284954465867
09/2011,9528.825760014544,13672.53276178804,12893.875242127633,17948.629863385795,17706.543291473892,13288.519562608051
10/2011,10818.87057877298,15226.101253023651,14848.895212300939,19775.984660861228,19051.222736285523,14740.849126207175
11/2011,10164.644330068391,14864.52867671055,13601.487906474447,19259.88655428617,19702.90812954395,14708.295250575367
12/2011,9752.24665833239,14869.609123640756,13939.009547971267,19119.197890868418,16823.198942498348,14858.745085947734
01/2012,10389.33183028491,15455.58372034815,15448.000411402707,20719.501477989932,18264.044943820223,15524.619814780144
02/2012,11021.671181728629,16214.911190950927,16454.737130808917,22048.893504833424,17890.284203569066,16195.931660261418
03/2012,10806.772168750795,16087.333633131844,15321.494077515124,23164.096828313493,16011.896893588895,16728.90674037286
04/2012,10027.528585354294,16280.574818100447,15865.916999502884,22906.4472317648,15018.175809649701,16623.94974177137
05/2012,8778.725495108045,14478.836565082283,14201.793030152388,21261.005033154903,14132.187706543291,15624.827939346551
06/2012,9558.285092452286,15305.939087522906,14515.830433515606,22037.708716146037,14537.673496364838,16268.610080276614
07/2012,9593.745309898659,15557.590951223252,14724.10305637931,22268.83438523608,13912.09517514871,16494.560130380676
08/2012,10340.01426660965,16071.62700577081,14262.646347943843,23398.09858592314,15605.750165234633,16866.073493299267
09/2012,10685.762893359606,16538.827655682722,15202.015873287963,23635.455780139004,17529.411764705885,17301.93754060631
10/2012,10965.495552166978,16590.439283111922,16070.589848638083,22517.056802748262,17276.581625908788,16982.45531928951
11/2012,11280.301999554127,16806.093451826855,16371.085246070244,22666.932971159218,15388.301387970918,17080.942837321465
12/2012,11740.072229017702,17062.73207999936,17159.26427481701,22539.905728209633,15202.247191011234,17236.62331655856
01/2013,12394.298156758503,17774.716753395463,17866.87693916382,23139.809858592314,13482.154659616657,18129.411635154327
02/2013,11703.153246539901,17407.35927479612,17164.235390918282,23236.957737477038,12144.08460013219,18375.52719384215
03/2013,11381.239544286354,17555.072092992137,16380.34180708641,23927.378764879755,12276.272306675479,19064.664523020336
04/2013,12088.689772847692,18049.176017128895,16566.501534189276,24520.33234800671,9764.044943820223,19431.979605994868
05/2013,12419.953499439376,18265.37700434647,16425.93894098085,25361.82791403691,9469.596827495043,19886.495028135352
06/2013,11761.187018101526,17330.88754767994,15309.323413956832,24764.00095869617,7879.709187045604,19619.456893988605
07/2013,12714.414175442094,18400.496556710128,15931.91285119221,26314.61212750659,8609.054857898214,20617.821629538263
08/2013,12465.35893354712,18305.320469258466,16318.459982515382,26220.180554445953,8794.117647058823,20020.702337822506
09/2013,13541.807365202314,19247.19279321972,17184.291273119972,27461.212750659102,7976.206212822207,20648.517250112865
10/2013,14515.108672077193,19946.194718065897,17615.9212849478,28833.027083166893,8228.023793787175,21597.67263877724
11/2013,14596.718557929391,20150.303039477683,18472.153178943034,29829.192298474074,7271.645736946463,22255.839050335304
12/2013,14910.301114664659,20713.82581807875,17838.593002725538,30730.04713589518,6890.614672835426,22819.303278237214
01/2014,14193.921885530857,19893.16547396206,16643.639542657314,30139.490293201252,7561.467283542628,22030.301945799514
